date,ticker,ntm_eps,n_analysts
2026-06-19,NFLX,3.3122,10
2026-06-19,ADBE,25.8355,8
2026-06-19,CRM,13.9571,14
2026-06-28,AAPL,9.0849,8
2026-06-28,MSFT,18.5341,9
2026-06-28,NVDA,9.9380,11
2026-06-28,AMZN,8.4550,12
2026-06-28,META,30.8817,13
2026-06-28,GOOGL,12.5255,11
2026-06-28,AVGO,15.6319,10
2026-06-28,ADBE,25.8354,8
2026-06-28,CRM,13.9571,14
2026-06-28,ORCL,8.0523,9
2026-06-28,AMD,8.8077,11
2026-06-28,NFLX,3.3122,10
2026-06-28,JPM,22.3023,3
2026-06-28,BAC,4.5717,4
2026-06-28,V,13.9469,9
2026-06-28,MA,20.2446,9
2026-06-28,UNH,18.9424,10
2026-06-28,LLY,37.2957,5
2026-06-28,JNJ,11.8080,5
2026-06-28,PG,6.9337,4
2026-06-28,KO,3.3038,5
2026-06-28,WMT,2.9777,9
2026-06-28,COST,22.0561,4
2026-06-28,HD,15.2671,9
2026-06-28,XOM,12.7092,4
2026-06-28,CVX,16.3919,4
2026-06-28,CAT,25.4085,5
